Date,High,Low,Mid
2022-07-01,139.039993,135.660004,137.3499985
2022-07-05,141.610001,136.929993,139.269997
2022-07-06,144.119995,141.080002,142.5999985
2022-07-07,146.550003,143.279999,144.91500100000002
2022-07-08,147.550003,145.0,146.2750015
2022-07-11,146.639999,143.779999,145.20999899999998
2022-07-12,148.449997,145.050003,146.75
2022-07-13,146.449997,142.119995,144.28499599999998
2022-07-14,148.949997,143.25,146.0999985
2022-07-15,150.860001,148.199997,149.529999
2022-07-18,151.570007,146.699997,149.135002
2022-07-19,151.229996,146.910004,149.07
2022-07-20,153.720001,150.369995,152.044998
2022-07-21,155.570007,151.940002,153.75500449999998
2022-07-22,156.279999,153.410004,154.8450015
2022-07-25,155.039993,152.279999,153.659996
2022-07-26,153.089996,150.800003,151.9449995
2022-07-27,157.330002,152.160004,154.745003
2022-07-28,157.639999,154.410004,156.02500149999997
2022-07-29,163.630005,159.5,161.5650025
2022-08-01,163.589996,160.889999,162.23999750000002
2022-08-02,162.410004,159.630005,161.0200045
2022-08-03,166.589996,160.75,163.66999800000002
2022-08-04,167.190002,164.429993,165.8099975
2022-08-05,165.850006,163.0,164.425003
2022-08-08,167.809998,164.199997,166.0049975
2022-08-09,165.820007,163.25,164.53500350000002
2022-08-10,169.339996,166.899994,168.11999500000002
2022-08-11,170.990005,168.190002,169.5900035
2022-08-12,172.169998,169.399994,170.78499599999998
2022-08-15,173.389999,171.350006,172.3700025
2022-08-16,173.710007,171.660004,172.6850055
2022-08-17,176.149994,172.570007,174.3600005
2022-08-18,174.899994,173.119995,174.0099945
2022-08-19,173.740005,171.309998,172.5250015
2022-08-22,169.860001,167.139999,168.5
2022-08-23,168.710007,166.649994,167.6800005
2022-08-24,168.110001,166.25,167.1800005
2022-08-25,170.139999,168.350006,169.2450025
2022-08-26,171.050003,163.559998,167.3050005
2022-08-29,162.899994,159.820007,161.3600005
2022-08-30,162.559998,157.720001,160.1399995
2022-08-31,160.580002,157.139999,158.8600005
2022-09-01,158.419998,154.669998,156.544998
2022-09-02,160.360001,154.970001,157.66500100000002
2022-09-06,157.089996,153.690002,155.389999
2022-09-07,156.669998,153.610001,155.1399995
2022-09-08,156.360001,152.679993,154.519997
2022-09-09,157.820007,154.75,156.28500350000002
2022-09-12,164.259995,159.300003,161.779999
2022-09-13,160.539993,153.369995,156.954994
2022-09-14,157.100006,153.610001,155.3550035
2022-09-15,155.240005,151.380005,153.310005
2022-09-16,151.350006,148.369995,149.8600005
2022-09-19,154.559998,149.100006,151.830002
2022-09-20,158.080002,153.080002,155.580002
2022-09-21,158.740005,153.600006,156.1700055
2022-09-22,154.470001,150.910004,152.6900025
2022-09-23,151.470001,148.559998,150.0149995
2022-09-26,153.770004,149.639999,151.70500149999998
2022-09-27,154.720001,149.949997,152.33499899999998
2022-09-28,150.639999,144.839996,147.73999750000002
2022-09-29,146.720001,140.679993,143.699997
2022-09-30,143.100006,138.0,140.550003
2022-10-03,143.070007,137.690002,140.38000449999998
2022-10-04,146.220001,144.259995,145.239998
2022-10-05,147.380005,143.009995,145.195
2022-10-06,147.539993,145.220001,146.379997
2022-10-07,143.100006,139.449997,141.2750015
2022-10-10,141.889999,138.570007,140.230003
2022-10-11,141.350006,138.220001,139.78500350000002
2022-10-12,140.360001,138.160004,139.26000249999998
2022-10-13,143.589996,134.369995,138.9799955
2022-10-14,144.520004,138.190002,141.355003
2022-10-17,142.899994,140.270004,141.58499899999998
2022-10-18,146.699997,140.610001,143.654999
2022-10-19,144.949997,141.5,143.2249985
2022-10-20,145.889999,142.649994,144.2699965
2022-10-21,147.850006,142.649994,145.25
2022-10-24,150.229996,146.0,148.114998
2022-10-25,152.490005,149.360001,150.925003
2022-10-26,151.990005,148.039993,150.014999
2022-10-27,149.050003,144.130005,146.59000400000002
2022-10-28,157.5,147.820007,152.66000350000002
2022-10-31,154.240005,151.919998,153.08000149999998
2022-11-01,155.449997,149.130005,152.29000100000002
2022-11-02,152.169998,145.0,148.58499899999998
2022-11-03,142.800003,138.75,140.7750015
2022-11-04,142.669998,134.380005,138.5250015
2022-11-07,139.149994,135.669998,137.40999599999998
2022-11-08,141.429993,137.490005,139.45999899999998
2022-11-09,138.550003,134.589996,136.5699995
2022-11-10,146.869995,139.5,143.1849975
2022-11-11,150.009995,144.369995,147.189995
2022-11-14,150.279999,147.429993,148.854996
2022-11-15,153.589996,148.559998,151.074997
2022-11-16,149.869995,147.289993,148.579994
2022-11-17,151.479996,146.149994,148.814995
2022-11-18,152.699997,149.970001,151.33499899999998
2022-11-21,150.369995,147.720001,149.044998
2022-11-22,150.419998,146.929993,148.6749955
2022-11-23,151.830002,149.339996,150.584999
2022-11-25,148.880005,147.119995,148.0
2022-11-28,146.639999,143.380005,145.010002
2022-11-29,144.809998,140.350006,142.580002
2022-11-30,148.720001,140.550003,144.635002
2022-12-01,149.130005,146.610001,147.870003
2022-12-02,148.0,145.649994,146.824997
2022-12-05,150.919998,145.770004,148.345001
2022-12-06,147.300003,141.919998,144.6100005
2022-12-07,143.369995,140.0,141.6849975
2022-12-08,143.520004,141.100006,142.310005
2022-12-09,145.570007,140.899994,143.2350005
2022-12-12,144.5,141.059998,142.779999
2022-12-13,149.970001,144.240005,147.105003
2022-12-14,146.660004,141.160004,143.910004
2022-12-15,141.800003,136.029999,138.91500100000002
2022-12-16,137.649994,133.729996,135.689995
2022-12-19,135.199997,131.320007,133.260002
2022-12-20,133.25,129.889999,131.5699995
2022-12-21,136.809998,132.75,134.779999
2022-12-22,134.559998,130.300003,132.4300005
2022-12-23,132.419998,129.639999,131.02999849999998
2022-12-27,131.410004,128.720001,130.0650025
2022-12-28,131.029999,125.870003,128.450001
2022-12-29,130.479996,127.730003,129.1049995
2022-12-30,129.949997,127.43,128.6899985
2023-01-03,130.899994,124.169998,127.534996
2023-01-04,128.660004,125.080002,126.870003
2023-01-05,127.769997,124.760002,126.2649995
2023-01-06,130.289993,124.889999,127.58999600000001
2023-01-09,133.410004,129.889999,131.65000149999997
2023-01-10,131.259995,128.119995,129.689995
2023-01-11,133.509995,130.460007,131.985001
2023-01-12,134.259995,131.440002,132.8499985
2023-01-13,134.919998,131.660004,133.290001
2023-01-17,137.289993,134.130005,135.709999
2023-01-18,138.610001,135.029999,136.82
2023-01-19,136.25,133.770004,135.010002
2023-01-20,138.020004,134.220001,136.1200025
2023-01-23,143.320007,137.899994,140.6100005
2023-01-24,143.160004,140.300003,141.7300035
2023-01-25,142.429993,138.809998,140.61999550000002
2023-01-26,144.25,141.899994,143.074997
2023-01-27,147.229996,143.080002,145.154999
2023-01-30,145.550003,142.850006,144.2000045
2023-01-31,144.339996,142.279999,143.3099975
2023-02-01,146.610001,141.320007,143.96500400000002
2023-02-02,151.179993,148.169998,149.6749955
2023-02-03,157.380005,147.830002,152.6050035
2023-02-06,153.100006,150.779999,151.9400025
2023-02-07,155.229996,150.639999,152.9349975
2023-02-08,154.580002,151.169998,152.875
2023-02-09,154.330002,150.419998,152.375
2023-02-10,151.339996,149.220001,150.2799985
2023-02-13,154.259995,150.919998,152.58999649999998
2023-02-14,153.770004,150.860001,152.3150025
2023-02-15,155.5,152.880005,154.1900025
2023-02-16,156.330002,153.350006,154.84000400000002
2023-02-17,153.0,150.850006,151.925003
2023-02-21,151.300003,148.410004,149.8550035
2023-02-22,149.949997,147.160004,148.5550005
2023-02-23,150.339996,147.240005,148.79000050000002
2023-02-24,147.190002,145.720001,146.45500149999998
2023-02-27,149.169998,147.449997,148.3099975
2023-02-28,149.080002,146.830002,147.955002
2023-03-01,147.229996,145.009995,146.11999550000002
2023-03-02,146.710007,143.899994,145.3050005
2023-03-03,151.110001,147.330002,149.22000150000002
2023-03-06,156.300003,153.460007,154.88000499999998
2023-03-07,154.029999,151.130005,152.580002
2023-03-08,153.470001,151.830002,152.6500015
2023-03-09,154.539993,150.229996,152.3849945
2023-03-10,150.940002,147.610001,149.2750015
2023-03-13,153.139999,147.699997,150.419998
2023-03-14,153.399994,150.100006,151.75
2023-03-15,153.25,149.919998,151.58499899999998
2023-03-16,156.460007,151.639999,154.050003
2023-03-17,156.740005,154.279999,155.510002
2023-03-20,157.820007,154.149994,155.9850005
2023-03-21,159.399994,156.539993,157.9699935
2023-03-22,162.139999,157.809998,159.9749985
2023-03-23,161.550003,157.679993,159.614998
2023-03-24,160.339996,157.850006,159.09500100000002
2023-03-27,160.770004,157.869995,159.3199995
2023-03-28,158.490005,155.979996,157.2350005
2023-03-29,161.050003,159.350006,160.2000045
2023-03-30,162.470001,161.270004,161.8700025
2023-03-31,165.0,161.910004,163.45500199999998
2023-04-03,166.289993,164.220001,165.254997
2023-04-04,166.839996,165.110001,165.97499850000003
2023-04-05,165.050003,161.800003,163.425003
2023-04-06,164.960007,162.0,163.4800035
2023-04-10,162.029999,160.080002,161.0550005
2023-04-11,162.360001,160.509995,161.434998
2023-04-12,162.059998,159.779999,160.91999850000002
2023-04-13,165.800003,161.419998,163.6100005
2023-04-14,166.320007,163.820007,165.070007
2023-04-17,165.389999,164.029999,164.70999899999998
2023-04-18,167.410004,165.649994,166.52999899999998
2023-04-19,168.160004,165.539993,166.8499985
2023-04-20,167.869995,165.559998,166.71499649999998
2023-04-21,166.449997,164.490005,165.470001
2023-04-24,165.600006,163.889999,164.7450025
2023-04-25,166.309998,163.729996,165.019997
2023-04-26,165.279999,162.800003,164.04000100000002
2023-04-27,168.559998,165.190002,166.875
2023-04-28,169.850006,167.880005,168.8650055
2023-05-01,170.449997,168.639999,169.544998
2023-05-02,170.350006,167.539993,168.9449995
2023-05-03,170.919998,167.160004,169.040001
2023-05-04,167.039993,164.309998,165.67499550000002
2023-05-05,174.300003,170.759995,172.529999
2023-05-08,173.850006,172.110001,172.9800035
2023-05-09,173.539993,171.600006,172.5699995
2023-05-10,174.029999,171.899994,172.96499649999998
2023-05-11,174.589996,172.169998,173.379997
2023-05-12,174.059998,171.0,172.529999
2023-05-15,173.210007,171.470001,172.340004
2023-05-16,173.139999,171.800003,172.470001
2023-05-17,172.929993,170.419998,171.6749955
2023-05-18,175.240005,172.580002,173.91000350000002
2023-05-19,176.389999,174.940002,175.6650005
2023-05-22,174.710007,173.449997,174.08000199999998
2023-05-23,173.380005,171.279999,172.330002
2023-05-24,172.419998,170.520004,171.470001
2023-05-25,173.899994,171.690002,172.794998
2023-05-26,175.770004,173.110001,174.4400025
2023-05-30,178.990005,176.570007,177.78000600000001
2023-05-31,179.350006,176.759995,178.0550005
2023-06-01,180.119995,176.929993,178.524994
2023-06-02,181.779999,179.259995,180.519997
2023-06-05,184.949997,178.039993,181.49499500000002
2023-06-06,180.119995,177.429993,178.774994
2023-06-07,181.210007,177.320007,179.265007
2023-06-08,180.839996,177.460007,179.1500015
2023-06-09,182.229996,180.630005,181.4300005
2023-06-12,183.889999,180.970001,182.43
2023-06-13,184.149994,182.440002,183.294998
2023-06-14,184.389999,182.020004,183.20500149999998
2023-06-15,186.520004,183.779999,185.1500015
2023-06-16,186.990005,184.270004,185.63000449999998
2023-06-20,186.100006,184.410004,185.25500499999998
2023-06-21,185.410004,182.589996,184.0
2023-06-22,187.050003,183.669998,185.3600005
2023-06-23,187.559998,185.009995,186.2849965
2023-06-26,188.050003,185.229996,186.6399995
2023-06-27,188.389999,185.669998,187.02999849999998
2023-06-28,189.899994,187.600006,188.75
2023-06-29,190.070007,188.940002,189.50500449999998
2023-06-30,194.479996,191.259995,192.86999550000002
